State,Year,Reading
Alabama,1980,3.6
Alabama,1981,3.4
Alabama,1982,3.4
Alabama,1983,3.5
Alabama,1984,3.3
Alabama,1985,2.9
Alabama,1986,3.0
Alabama,1987,3.4
Alabama,1988,3.4
Alabama,1989,3.3
Alabama,1990,3.1
Alabama,1991,3.0
Alabama,1992,3.2
Alabama,1993,3.4
Alabama,1994,3.3
Alabama,1995,3.3
Alabama,1996,3.7
Alabama,1997,3.4
Alabama,1998,3.1
Alabama,1999,3.3
Alabama,2000,3.7
Alabama,2001,3.5
Alabama,2002,3.2
Alabama,2003,3.1
Alabama,2004,3.0
Alabama,2005,2.7
Alabama,2006,2.5
Alabama,2007,2.4
Alabama,2008,2.5
Alabama,2009,2.5
Alabama,2010,2.9
Alabama,2011,2.3
Alabama,2012,1.8
Alabama,2013,2.2
Alabama,2014,2.4
Alaska,1980,0.9
Alaska,1981,0.9
Alaska,1982,1.2
Alaska,1983,1.2
Alaska,1984,1.4
Alaska,1985,1.4
Alaska,1986,1.3
Alaska,1987,1.3
Alaska,1988,1.2
Alaska,1989,1.4
Alaska,1990,1.6
Alaska,1991,1.6
Alaska,1992,1.7
Alaska,1993,1.7
Alaska,1994,1.8
Alaska,1995,1.8
Alaska,1996,1.8
Alaska,1997,1.7
Alaska,1998,1.6
Alaska,1999,1.9
Alaska,2000,1.7
Alaska,2001,1.8
Alaska,2002,1.6
Alaska,2003,1.7
Alaska,2004,1.8
Alaska,2005,1.8
Alaska,2006,2.1
Alaska,2007,1.8
Alaska,2008,1.8
Alaska,2009,1.7
Alaska,2010,1.7
Alaska,2011,1.7
Alaska,2012,1.8
Alaska,2013,1.6
Alaska,2014,1.5
Arizona,1980,1.8
Arizona,1981,1.6
Arizona,1982,1.8
Arizona,1983,1.8
Arizona,1984,1.7
Arizona,1985,1.8
Arizona,1986,1.6
Arizona,1987,1.8
Arizona,1988,1.7
Arizona,1989,1.7
Arizona,1990,1.8
Arizona,1991,1.9
Arizona,1992,1.8
Arizona,1993,1.7
Arizona,1994,1.8
Arizona,1995,1.7
Arizona,1996,1.7
Arizona,1997,1.8
Arizona,1998,2.2
Arizona,1999,2.1
Arizona,2000,2.1
Arizona,2001,2.2
Arizona,2002,2.2
Arizona,2003,2.1
Arizona,2004,2.2
Arizona,2005,2.1
Arizona,2006,2.2
Arizona,2007,2.3
Arizona,2008,2.4
Arizona,2009,2.2
Arizona,2010,2.3
Arizona,2011,2.4
Arizona,2012,2.1
Arizona,2013,2.4
Arizona,2014,2.0
Arkansas,1980,3.0
Arkansas,1981,2.7
Arkansas,1982,2.8
Arkansas,1983,3.1
Arkansas,1984,2.9
Arkansas,1985,2.7
Arkansas,1986,2.6
Arkansas,1987,2.6
Arkansas,1988,2.7
Arkansas,1989,2.7
Arkansas,1990,2.5
Arkansas,1991,2.6
Arkansas,1992,2.5
Arkansas,1993,2.8
Arkansas,1994,2.6
Arkansas,1995,2.7
Arkansas,1996,2.9
Arkansas,1997,2.7
Arkansas,1998,2.4
Arkansas,1999,2.7
Arkansas,2000,2.9
Arkansas,2001,2.7
Arkansas,2002,2.6
Arkansas,2003,2.5
Arkansas,2004,2.3
Arkansas,2005,2.2
Arkansas,2006,2.1
Arkansas,2007,2.1
Arkansas,2008,2.3
Arkansas,2009,2.2
Arkansas,2010,2.3
Arkansas,2011,2.1
Arkansas,2012,1.6
Arkansas,2013,2.2
Arkansas,2014,2.4
California,1980,30.4
California,1981,28.0
California,1982,30.8
California,1983,28.7
California,1984,27.0
California,1985,30.3
California,1986,26.6
California,1987,28.6
California,1988,28.5
California,1989,29.8
California,1990,29.5
California,1991,29.3
California,1992,27.2
California,1993,28.8
California,1994,29.4
California,1995,26.8
California,1996,27.0
California,1997,26.8
California,1998,32.3
California,1999,32.0
California,2000,27.6
California,2001,28.7
California,2002,28.7
California,2003,28.4
California,2004,29.4
California,2005,28.2
California,2006,28.4
California,2007,28.6
California,2008,28.8
California,2009,28.3
California,2010,28.9
California,2011,29.7
California,2012,27.4
California,2013,27.8
California,2014,22.8
Colorado,1980,5.0
Colorado,1981,4.4
Colorado,1982,5.0
Colorado,1983,5.2
Colorado,1984,5.2
Colorado,1985,5.0
Colorado,1986,4.5
Colorado,1987,4.8
Colorado,1988,5.1
Colorado,1989,5.1
Colorado,1990,5.0
Colorado,1991,5.7
Colorado,1992,5.4
Colorado,1993,6.0
Colorado,1994,5.6
Colorado,1995,6.0
Colorado,1996,6.4
Colorado,1997,6.2
Colorado,1998,5.9
Colorado,1999,6.4
Colorado,2000,6.8
Colorado,2001,7.2
Colorado,2002,7.5
Colorado,2003,7.6
Colorado,2004,7.2
Colorado,2005,7.5
Colorado,2006,7.1
Colorado,2007,7.8
Colorado,2008,8.0
Colorado,2009,7.6
Colorado,2010,7.8
Colorado,2011,7.8
Colorado,2012,7.0
Colorado,2013,8.2
Colorado,2014,7.9
Connecticut,1980,7.7
Connecticut,1981,7.5
Connecticut,1982,7.2
Connecticut,1983,5.9
Connecticut,1984,6.8
Connecticut,1985,6.8
Connecticut,1986,7.7
Connecticut,1987,8.0
Connecticut,1988,8.9
Connecticut,1989,9.2
Connecticut,1990,8.1
Connecticut,1991,7.8
Connecticut,1992,9.3
Connecticut,1993,8.9
Connecticut,1994,8.5
Connecticut,1995,7.8
Connecticut,1996,8.3
Connecticut,1997,8.0
Connecticut,1998,7.0
Connecticut,1999,7.9
Connecticut,2000,8.6
Connecticut,2001,8.3
Connecticut,2002,8.1
Connecticut,2003,9.6
Connecticut,2004,10.1
Connecticut,2005,9.2
Connecticut,2006,8.0
Connecticut,2007,8.2
Connecticut,2008,8.0
Connecticut,2009,8.1
Connecticut,2010,7.5
Connecticut,2011,7.2
Connecticut,2012,6.6
Connecticut,2013,7.2
Connecticut,2014,7.4
Delaware,1980,1.1
Delaware,1981,1.0
Delaware,1982,1.0
Delaware,1983,1.1
Delaware,1984,1.4
Delaware,1985,1.4
Delaware,1986,1.1
Delaware,1987,1.3
Delaware,1988,1.3
Delaware,1989,1.3
Delaware,1990,1.0
Delaware,1991,1.1
Delaware,1992,1.1
Delaware,1993,1.1
Delaware,1994,1.2
Delaware,1995,1.2
Delaware,1996,1.3
Delaware,1997,1.1
Delaware,1998,1.1
Delaware,1999,1.1
Delaware,2000,1.2
Delaware,2001,1.2
Delaware,2002,1.2
Delaware,2003,1.3
Delaware,2004,1.2
Delaware,2005,1.2
Delaware,2006,1.0
Delaware,2007,1.0
Delaware,2008,1.0
Delaware,2009,1.0
Delaware,2010,1.0
Delaware,2011,0.9
Delaware,2012,0.8
Delaware,2013,0.9
Delaware,2014,1.0
Florida,1980,2.2
Florida,1981,2.2
Florida,1982,1.7
Florida,1983,1.8
Florida,1984,2.1
Florida,1985,2.2
Florida,1986,2.1
Florida,1987,2.1
Florida,1988,2.0
Florida,1989,1.7
Florida,1990,1.5
Florida,1991,1.6
Florida,1992,1.7
Florida,1993,1.7
Florida,1994,1.6
Florida,1995,1.5
Florida,1996,1.7
Florida,1997,1.4
Florida,1998,1.4
Florida,1999,1.4
Florida,2000,1.5
Florida,2001,1.4
Florida,2002,1.4
Florida,2003,1.4
Florida,2004,1.5
Florida,2005,1.5
Florida,2006,1.4
Florida,2007,1.3
Florida,2008,1.3
Florida,2009,1.4
Florida,2010,1.6
Florida,2011,1.3
Florida,2012,1.1
Florida,2013,1.1
Florida,2014,1.2
Georgia,1980,6.0
Georgia,1981,5.8
Georgia,1982,5.4
Georgia,1983,5.8
Georgia,1984,6.2
Georgia,1985,5.7
Georgia,1986,5.9
Georgia,1987,6.5
Georgia,1988,6.9
Georgia,1989,6.7
Georgia,1990,5.8
Georgia,1991,6.2
Georgia,1992,6.9
Georgia,1993,7.4
Georgia,1994,6.8
Georgia,1995,7.2
Georgia,1996,7.9
Georgia,1997,7.3
Georgia,1998,6.8
Georgia,1999,6.4
Georgia,2000,8.7
Georgia,2001,7.4
Georgia,2002,7.7
Georgia,2003,7.9
Georgia,2004,7.8
Georgia,2005,7.6
Georgia,2006,6.7
Georgia,2007,6.8
Georgia,2008,7.2
Georgia,2009,7.1
Georgia,2010,8.3
Georgia,2011,6.7
Georgia,2012,6.0
Georgia,2013,7.1
Georgia,2014,7.8
Hawaii,1980,0.0
Hawaii,1981,0.0
Hawaii,1982,0.0
Hawaii,1983,0.0
Hawaii,1984,0.0
Hawaii,1985,0.0
Hawaii,1986,0.0
Hawaii,1987,0.0
Hawaii,1988,0.0
Hawaii,1989,0.0
Hawaii,1990,0.0
Hawaii,1991,0.0
Hawaii,1992,0.0
Hawaii,1993,0.0
Hawaii,1994,0.0
Hawaii,1995,0.0
Hawaii,1996,0.0
Hawaii,1997,0.0
Hawaii,1998,0.1
Hawaii,1999,0.0
Hawaii,2000,0.0
Hawaii,2001,0.0
Hawaii,2002,0.0
Hawaii,2003,0.0
Hawaii,2004,0.0
Hawaii,2005,0.0
Hawaii,2006,0.0
Hawaii,2007,0.0
Hawaii,2008,0.1
Hawaii,2009,0.1
Hawaii,2010,0.1
Hawaii,2011,0.1
Hawaii,2012,0.1
Hawaii,2013,0.1
Hawaii,2014,0.1
Idaho,1980,0.7
Idaho,1981,0.7
Idaho,1982,0.6
Idaho,1983,0.7
Idaho,1984,0.7
Idaho,1985,0.8
Idaho,1986,0.7
Idaho,1987,0.7
Idaho,1988,0.8
Idaho,1989,0.8
Idaho,1990,0.8
Idaho,1991,0.9
Idaho,1992,0.8
Idaho,1993,1.0
Idaho,1994,0.9
Idaho,1995,1.0
Idaho,1996,1.1
Idaho,1997,1.1
Idaho,1998,1.1
Idaho,1999,1.4
Idaho,2000,1.5
Idaho,2001,1.4
Idaho,2002,1.4
Idaho,2003,1.3
Idaho,2004,1.6
Idaho,2005,1.6
Idaho,2006,1.6
Idaho,2007,1.6
Idaho,2008,1.8
Idaho,2009,1.7
Idaho,2010,1.6
Idaho,2011,1.8
Idaho,2012,1.6
Idaho,2013,1.8
Idaho,2014,1.6
Illinois,1980,27.7
Illinois,1981,26.8
Illinois,1982,26.7
Illinois,1983,25.5
Illinois,1984,28.1
Illinois,1985,26.3
Illinois,1986,25.0
Illinois,1987,23.5
Illinois,1988,26.6
Illinois,1989,28.7
Illinois,1990,25.3
Illinois,1991,26.6
Illinois,1992,26.9
Illinois,1993,28.0
Illinois,1994,26.8
Illinois,1995,28.3
Illinois,1996,30.7
Illinois,1997,28.5
Illinois,1998,23.5
Illinois,1999,25.8
Illinois,2000,26.6
Illinois,2001,24.0
Illinois,2002,25.9
Illinois,2003,26.5
Illinois,2004,24.8
Illinois,2005,24.5
Illinois,2006,22.4
Illinois,2007,24.4
Illinois,2008,26.6
Illinois,2009,25.0
Illinois,2010,23.6
Illinois,2011,23.6
Illinois,2012,20.3
Illinois,2013,25.8
Illinois,2014,27.0
Indiana,1980,12.0
Indiana,1981,11.2
Indiana,1982,11.4
Indiana,1983,9.9
Indiana,1984,10.4
Indiana,1985,9.9
Indiana,1986,9.8
Indiana,1987,9.8
Indiana,1988,10.8
Indiana,1989,10.9
Indiana,1990,9.6
Indiana,1991,9.8
Indiana,1992,10.0
Indiana,1993,10.8
Indiana,1994,10.3
Indiana,1995,10.3
Indiana,1996,11.7
Indiana,1997,11.0
Indiana,1998,9.1
Indiana,1999,10.2
Indiana,2000,10.5
Indiana,2001,9.3
Indiana,2002,10.1
Indiana,2003,11.0
Indiana,2004,9.6
Indiana,2005,9.4
Indiana,2006,8.0
Indiana,2007,9.0
Indiana,2008,9.7
Indiana,2009,8.9
Indiana,2010,8.6
Indiana,2011,8.2
Indiana,2012,7.0
Indiana,2013,8.7
Indiana,2014,9.4
Iowa,1980,6.6
Iowa,1981,6.0
Iowa,1982,6.6
Iowa,1983,5.8
Iowa,1984,5.7
Iowa,1985,5.1
Iowa,1986,4.7
Iowa,1987,4.0
Iowa,1988,4.8
Iowa,1989,4.7
Iowa,1990,4.2
Iowa,1991,4.7
Iowa,1992,4.3
Iowa,1993,4.9
Iowa,1994,4.7
Iowa,1995,4.9
Iowa,1996,5.5
Iowa,1997,5.2
Iowa,1998,4.3
Iowa,1999,5.0
Iowa,2000,5.0
Iowa,2001,4.4
Iowa,2002,4.7
Iowa,2003,4.8
Iowa,2004,4.4
Iowa,2005,4.3
Iowa,2006,4.0
Iowa,2007,4.4
Iowa,2008,5.1
Iowa,2009,4.7
Iowa,2010,4.4
Iowa,2011,4.4
Iowa,2012,3.6
Iowa,2013,4.7
Iowa,2014,4.9
Kansas,1980,5.1
Kansas,1981,4.4
Kansas,1982,4.9
Kansas,1983,4.8
Kansas,1984,4.5
Kansas,1985,4.6
Kansas,1986,4.0
Kansas,1987,4.2
Kansas,1988,4.4
Kansas,1989,4.4
Kansas,1990,4.1
Kansas,1991,4.4
Kansas,1992,4.0
Kansas,1993,4.7
Kansas,1994,4.2
Kansas,1995,4.4
Kansas,1996,5.0
Kansas,1997,4.3
Kansas,1998,4.3
Kansas,1999,4.6
Kansas,2000,4.4
Kansas,2001,4.2
Kansas,2002,4.4
Kansas,2003,4.4
Kansas,2004,4.1
Kansas,2005,4.0
Kansas,2006,3.5
Kansas,2007,3.9
Kansas,2008,4.5
Kansas,2009,4.5
Kansas,2010,4.2
Kansas,2011,4.1
Kansas,2012,3.2
Kansas,2013,4.2
Kansas,2014,4.4
Kentucky,1980,5.7
Kentucky,1981,4.9
Kentucky,1982,4.7
Kentucky,1983,4.6
Kentucky,1984,4.7
Kentucky,1985,4.5
Kentucky,1986,4.4
Kentucky,1987,4.5
Kentucky,1988,4.9
Kentucky,1989,4.8
Kentucky,1990,4.1
Kentucky,1991,4.4
Kentucky,1992,4.5
Kentucky,1993,4.9
Kentucky,1994,4.7
Kentucky,1995,4.9
Kentucky,1996,5.1
Kentucky,1997,5.0
Kentucky,1998,4.2
Kentucky,1999,4.6
Kentucky,2000,4.6
Kentucky,2001,3.9
Kentucky,2002,4.0
Kentucky,2003,4.3
Kentucky,2004,4.0
Kentucky,2005,3.9
Kentucky,2006,3.3
Kentucky,2007,3.5
Kentucky,2008,3.7
Kentucky,2009,3.6
Kentucky,2010,3.7
Kentucky,2011,3.5
Kentucky,2012,2.8
Kentucky,2013,3.4
Kentucky,2014,3.7
Louisiana,1980,4.3
Louisiana,1981,4.7
Louisiana,1982,4.0
Louisiana,1983,4.0
Louisiana,1984,4.0
Louisiana,1985,3.6
Louisiana,1986,3.4
Louisiana,1987,3.6
Louisiana,1988,3.5
Louisiana,1989,3.4
Louisiana,1990,3.1
Louisiana,1991,3.2
Louisiana,1992,3.3
Louisiana,1993,3.3
Louisiana,1994,3.1
Louisiana,1995,3.0
Louisiana,1996,3.3
Louisiana,1997,3.4
Louisiana,1998,3.0
Louisiana,1999,2.9
Louisiana,2000,3.3
Louisiana,2001,3.1
Louisiana,2002,2.9
Louisiana,2003,2.8
Louisiana,2004,2.5
Louisiana,2005,2.5
Louisiana,2006,2.1
Louisiana,2007,2.2
Louisiana,2008,2.2
Louisiana,2009,2.2
Louisiana,2010,2.6
Louisiana,2011,2.3
Louisiana,2012,1.8
Louisiana,2013,2.2
Louisiana,2014,2.5
Maine,1980,3.0
Maine,1981,2.4
Maine,1982,2.3
Maine,1983,1.6
Maine,1984,2.1
Maine,1985,2.8
Maine,1986,3.1
Maine,1987,3.1
Maine,1988,3.4
Maine,1989,3.2
Maine,1990,3.0
Maine,1991,3.0
Maine,1992,3.0
Maine,1993,3.1
Maine,1994,3.2
Maine,1995,3.9
Maine,1996,4.0
Maine,1997,3.9
Maine,1998,4.2
Maine,1999,4.0
Maine,2000,3.9
Maine,2001,3.8
Maine,2002,3.5
Maine,2003,4.7
Maine,2004,5.1
Maine,2005,4.6
Maine,2006,4.0
Maine,2007,3.8
Maine,2008,3.1
Maine,2009,2.9
Maine,2010,2.6
Maine,2011,2.7
Maine,2012,2.2
Maine,2013,2.4
Maine,2014,2.5
Maryland,1980,7.9
Maryland,1981,7.1
Maryland,1982,6.7
Maryland,1983,6.5
Maryland,1984,7.7
Maryland,1985,6.8
Maryland,1986,6.8
Maryland,1987,7.3
Maryland,1988,7.7
Maryland,1989,7.1
Maryland,1990,6.2
Maryland,1991,6.2
Maryland,1992,6.7
Maryland,1993,7.0
Maryland,1994,7.0
Maryland,1995,6.9
Maryland,1996,7.7
Maryland,1997,7.0
Maryland,1998,6.2
Maryland,1999,6.6
Maryland,2000,7.2
Maryland,2001,6.5
Maryland,2002,6.7
Maryland,2003,7.4
Maryland,2004,7.1
Maryland,2005,7.2
Maryland,2006,5.9
Maryland,2007,6.5
Maryland,2008,6.3
Maryland,2009,6.5
Maryland,2010,6.6
Maryland,2011,5.9
Maryland,2012,5.2
Maryland,2013,6.2
Maryland,2014,6.9
Massachusetts,1980,14.7
Massachusetts,1981,12.8
Massachusetts,1982,12.9
Massachusetts,1983,12.5
Massachusetts,1984,14.4
Massachusetts,1985,14.3
Massachusetts,1986,14.8
Massachusetts,1987,15.3
Massachusetts,1988,15.4
Massachusetts,1989,16.3
Massachusetts,1990,15.0
Massachusetts,1991,14.2
Massachusetts,1992,16.3
Massachusetts,1993,16.4
Massachusetts,1994,16.2
Massachusetts,1995,14.6
Massachusetts,1996,14.5
Massachusetts,1997,14.3
Massachusetts,1998,13.1
Massachusetts,1999,13.9
Massachusetts,2000,15.5
Massachusetts,2001,15.8
Massachusetts,2002,15.7
Massachusetts,2003,16.2
Massachusetts,2004,14.8
Massachusetts,2005,14.8
Massachusetts,2006,12.7
Massachusetts,2007,13.4
Massachusetts,2008,14.3
Massachusetts,2009,13.8
Massachusetts,2010,13.5
Massachusetts,2011,13.6
Massachusetts,2012,11.8
Massachusetts,2013,12.3
Massachusetts,2014,13.6
Michigan,1980,25.9
Michigan,1981,23.9
Michigan,1982,23.4
Michigan,1983,22.1
Michigan,1984,22.3
Michigan,1985,22.5
Michigan,1986,22.3
Michigan,1987,21.4
Michigan,1988,23.7
Michigan,1989,24.5
Michigan,1990,21.7
Michigan,1991,22.2
Michigan,1992,23.2
Michigan,1993,24.1
Michigan,1994,23.5
Michigan,1995,24.4
Michigan,1996,26.0
Michigan,1997,24.8
Michigan,1998,21.0
Michigan,1999,23.2
Michigan,2000,24.2
Michigan,2001,23.5
Michigan,2002,24.8
Michigan,2003,25.9
Michigan,2004,24.0
Michigan,2005,23.9
Michigan,2006,20.0
Michigan,2007,21.1
Michigan,2008,21.5
Michigan,2009,20.5
Michigan,2010,18.9
Michigan,2011,19.5
Michigan,2012,16.8
Michigan,2013,20.6
Michigan,2014,21.8
Minnesota,1980,8.8
Minnesota,1981,7.9
Minnesota,1982,9.2
Minnesota,1983,7.5
Minnesota,1984,7.8
Minnesota,1985,8.1
Minnesota,1986,8.1
Minnesota,1987,7.4
Minnesota,1988,8.7
Minnesota,1989,9.4
Minnesota,1990,8.1
Minnesota,1991,8.9
Minnesota,1992,8.4
Minnesota,1993,9.1
Minnesota,1994,9.0
Minnesota,1995,9.4
Minnesota,1996,10.7
Minnesota,1997,9.6
Minnesota,1998,8.1
Minnesota,1999,8.5
Minnesota,2000,9.3
Minnesota,2001,8.9
Minnesota,2002,9.3
Minnesota,2003,9.8
Minnesota,2004,9.4
Minnesota,2005,9.0
Minnesota,2006,8.2
Minnesota,2007,8.9
Minnesota,2008,9.6
Minnesota,2009,9.0
Minnesota,2010,8.3
Minnesota,2011,8.3
Minnesota,2012,7.3
Minnesota,2013,9.2
Minnesota,2014,9.8
Mississippi,1980,2.1
Mississippi,1981,2.0
Mississippi,1982,2.0
Mississippi,1983,2.1
Mississippi,1984,1.9
Mississippi,1985,1.8
Mississippi,1986,1.7
Mississippi,1987,1.9
Mississippi,1988,1.9
Mississippi,1989,1.9
Mississippi,1990,1.8
Mississippi,1991,1.8
Mississippi,1992,1.9
Mississippi,1993,2.0
Mississippi,1994,2.0
Mississippi,1995,1.9
Mississippi,1996,2.2
Mississippi,1997,2.0
Mississippi,1998,1.9
Mississippi,1999,1.9
Mississippi,2000,2.4
Mississippi,2001,2.4
Mississippi,2002,2.1
Mississippi,2003,2.0
Mississippi,2004,1.8
Mississippi,2005,1.8
Mississippi,2006,1.6
Mississippi,2007,1.6
Mississippi,2008,1.8
Mississippi,2009,1.8
Mississippi,2010,2.0
Mississippi,2011,1.7
Mississippi,2012,1.4
Mississippi,2013,1.7
Mississippi,2014,1.9
Missouri,1980,9.4
Missouri,1981,8.6
Missouri,1982,8.9
Missouri,1983,8.5
Missouri,1984,8.2
Missouri,1985,8.2
Missouri,1986,7.8
Missouri,1987,7.6
Missouri,1988,8.1
Missouri,1989,8.4
Missouri,1990,7.5
Missouri,1991,8.0
Missouri,1992,7.7
Missouri,1993,8.8
Missouri,1994,8.0
Missouri,1995,8.3
Missouri,1996,9.3
Missouri,1997,8.6
Missouri,1998,7.3
Missouri,1999,7.8
Missouri,2000,7.7
Missouri,2001,8.5
Missouri,2002,7.8
Missouri,2003,7.8
Missouri,2004,7.3
Missouri,2005,7.0
Missouri,2006,6.3
Missouri,2007,6.7
Missouri,2008,7.6
Missouri,2009,6.9
Missouri,2010,6.9
Missouri,2011,6.5
Missouri,2012,5.3
Missouri,2013,6.7
Missouri,2014,7.2
Montana,1980,1.4
Montana,1981,1.2
Montana,1982,1.4
Montana,1983,1.3
Montana,1984,1.2
Montana,1985,1.3
Montana,1986,1.2
Montana,1987,1.1
Montana,1988,1.2
Montana,1989,1.3
Montana,1990,1.3
Montana,1991,1.3
Montana,1992,1.1
Montana,1993,1.3
Montana,1994,1.2
Montana,1995,1.3
Montana,1996,1.5
Montana,1997,1.5
Montana,1998,1.2
Montana,1999,1.2
Montana,2000,1.4
Montana,2001,1.4
Montana,2002,1.5
Montana,2003,1.5
Montana,2004,1.6
Montana,2005,1.6
Montana,2006,1.6
Montana,2007,1.6
Montana,2008,1.8
Montana,2009,1.8
Montana,2010,1.6
Montana,2011,1.7
Montana,2012,1.5
Montana,2013,1.6
Montana,2014,1.6
