,State,Year,"Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d","Domestic self-supplied groundwater withdrawals, saline, in Mgal/d","Domestic total self-supplied withdrawals, groundwater, in Mgal/d","Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d","Domestic self-supplied surface-water withdrawals, saline, in Mgal/d","Domestic total self-supplied withdrawals, surface water, in Mgal/d","Domestic total self-supplied withdrawals, fresh, in Mgal/d","Domestic self-supplied population, in thousands","Domestic deliveries from public supply, in Mgal/d","Domestic total self-supplied withdrawals, saline, in Mgal/d","Domestic per capita use, public-supplied, in gallons/person/day","Domestic total self-supplied withdrawals, in Mgal/d","Domestic total self-supplied withdrawals plus deliveries, in Mgal/d","Domestic consumptive use, fresh, in Mgal/d","Domestic consumptive use, saline, in Mgal/d","Domestic total consumptive use, in Mgal/d","Domestic per capita use, self-supplied, in gallons/person/day","Total domestic water use per capita, gallons/person/day"
145,Missouri,2000,53.62,0.00,0.00,0.00,0.00,0.00,53.62,824.250,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,65.0,65.0
146,Missouri,2005,59.51,0.00,0.00,0.00,0.00,0.00,59.51,850.218,452.430,0.00,91.0,0.00,511.94,0.00,0.00,0.00,70.0,161.0
147,Missouri,2010,61.81,0.00,0.00,0.00,0.00,0.00,61.81,883.261,467.140,0.00,91.0,0.00,528.95,0.00,0.00,0.00,70.0,161.0
148,Montana,1985,15.44,0.00,0.00,0.79,0.00,0.00,16.23,208.860,89.950,0.00,147.0,0.00,106.18,49.56,0.00,0.00,78.0,225.0
149,Montana,1990,15.05,0.00,0.00,0.82,0.00,0.00,15.87,203.730,76.910,0.00,129.0,0.00,92.78,44.36,0.00,0.00,78.0,207.0
150,Montana,1995,16.60,0.00,16.60,0.95,0.00,0.95,17.55,225.020,76.910,0.00,119.0,17.55,94.46,45.98,0.00,45.98,78.0,197.0
151,Montana,2000,21.77,0.00,0.00,1.06,0.00,0.00,22.83,293.030,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,78.0,78.0
152,Montana,2005,22.42,0.00,0.00,1.06,0.00,0.00,23.48,300.570,81.000,0.00,128.0,0.00,104.48,0.00,0.00,0.00,78.0,206.0
153,Montana,2010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.0
154,Nebraska,1985,24.40,0.00,0.00,0.00,0.00,0.00,24.40,280.850,148.580,0.00,112.0,0.00,172.98,86.76,0.00,0.00,87.0,199.0
155,Nebraska,1990,47.14,0.00,0.00,0.00,0.00,0.00,47.14,377.640,138.220,0.00,115.0,0.00,185.36,103.04,0.00,0.00,125.0,240.0
156,Nebraska,1995,41.83,0.00,41.83,0.00,0.00,0.00,41.83,346.410,155.400,0.00,120.0,41.83,197.23,99.96,0.00,99.96,121.0,241.0
157,Nebraska,2000,48.45,0.00,0.00,0.00,0.00,0.00,48.45,323.700,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,150.0,150.0
158,Nebraska,2005,52.07,0.00,0.00,0.00,0.00,0.00,52.07,312.704,185.320,0.00,128.0,0.00,237.39,0.00,0.00,0.00,167.0,295.0
159,Nebraska,2010,44.01,0.00,0.00,0.00,0.00,0.00,44.01,345.966,130.230,0.00,88.0,0.00,174.24,0.00,0.00,0.00,127.0,215.0
160,Nevada,1985,11.54,0.00,0.00,0.57,0.00,0.00,12.11,86.000,189.170,0.00,215.0,0.00,201.28,101.84,0.00,0.00,141.0,356.0
161,Nevada,1990,9.63,0.00,0.00,0.18,0.00,0.00,9.81,81.880,238.280,0.00,213.0,0.00,248.09,124.01,0.00,0.00,120.0,333.0
162,Nevada,1995,10.69,0.00,10.69,0.18,0.00,0.18,10.87,90.530,306.070,0.00,213.0,10.87,316.94,158.17,0.00,158.17,120.0,333.0
163,Nevada,2000,22.45,0.00,0.00,0.00,0.00,0.00,22.45,124.430,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,180.0,180.0
164,Nevada,2005,37.38,0.00,0.00,0.00,0.00,0.00,37.38,181.847,421.450,0.00,189.0,0.00,458.83,0.00,0.00,0.00,206.0,395.0
165,Nevada,2010,29.81,0.00,0.00,0.00,0.00,0.00,29.81,157.998,330.950,0.00,130.0,0.00,360.76,0.00,0.00,0.00,189.0,319.0
166,New Hampshire,1985,21.65,0.00,0.00,0.00,0.00,0.00,21.65,360.510,63.350,0.00,99.0,0.00,85.00,17.00,0.00,0.00,60.0,159.0
167,New Hampshire,1990,26.97,0.00,0.00,0.00,0.00,0.00,26.97,414.900,49.010,0.00,71.0,0.00,75.98,11.41,0.00,0.00,65.0,136.0
168,New Hampshire,1995,31.13,0.00,31.13,0.47,0.00,0.47,31.60,451.260,57.150,0.00,82.0,31.60,88.75,13.29,0.00,13.29,70.0,152.0
169,New Hampshire,2000,40.87,0.00,0.00,0.16,0.00,0.00,41.03,479.466,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,86.0,86.0
170,New Hampshire,2005,41.56,0.00,0.00,0.09,0.00,0.00,41.65,555.290,56.600,0.00,75.0,0.00,98.25,0.00,0.00,0.00,75.0,150.0
171,New Hampshire,2010,33.32,0.00,0.00,0.00,0.00,0.00,33.32,445.540,58.650,0.00,67.0,0.00,91.97,0.00,0.00,0.00,75.0,142.0
172,New Jersey,1985,63.61,0.00,0.00,0.00,0.00,0.00,63.61,850.510,503.160,0.00,75.0,0.00,566.77,103.30,0.00,0.00,75.0,150.0
173,New Jersey,1990,68.25,0.00,0.00,0.00,0.00,0.00,68.25,910.830,511.490,0.00,75.0,0.00,579.74,105.76,0.00,0.00,75.0,150.0
174,New Jersey,1995,86.44,0.00,86.44,0.00,0.00,0.00,86.44,1013.160,537.870,0.00,78.0,86.44,624.31,121.50,0.00,121.50,85.0,163.0
175,New Jersey,2000,79.66,0.00,0.00,0.00,0.00,0.00,79.66,952.380,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,84.0,84.0
176,New Jersey,2005,79.51,0.00,0.00,0.00,0.00,0.00,79.51,960.604,525.450,0.00,68.0,0.00,604.96,0.00,0.00,0.00,83.0,151.0
177,New Jersey,2010,98.34,0.00,0.00,0.00,0.00,0.00,98.34,964.107,604.990,0.00,77.0,0.00,703.33,0.00,0.00,0.00,102.0,179.0
178,New Mexico,1985,38.44,0.00,0.00,0.00,0.00,0.00,38.44,414.090,179.110,0.00,178.0,0.00,217.55,106.42,0.00,0.00,93.0,271.0
179,New Mexico,1990,23.91,0.00,0.00,0.00,0.00,0.00,23.91,308.250,163.400,0.00,135.0,0.00,187.31,108.99,0.00,0.00,78.0,213.0
180,New Mexico,1995,26.42,0.00,26.42,0.00,0.00,0.00,26.42,306.390,188.310,0.00,136.0,26.42,214.73,118.34,0.00,118.34,86.0,222.0
181,New Mexico,2000,31.39,0.00,0.00,0.00,0.00,0.00,31.39,360.170,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,87.0,87.0
182,New Mexico,2005,32.04,0.00,0.00,0.00,0.00,0.00,32.04,376.999,175.040,0.00,113.0,0.00,207.08,0.00,0.00,0.00,85.0,198.0
183,New Mexico,2010,25.82,0.00,0.00,0.00,0.00,0.00,25.82,303.139,160.210,0.00,91.0,0.00,186.03,0.00,0.00,0.00,85.0,176.0
184,New York,1985,191.24,0.00,0.00,0.00,0.00,0.00,191.24,1886.470,1470.600,0.00,93.0,0.00,1661.84,166.43,0.00,0.00,101.0,194.0
185,New York,1990,119.79,0.00,0.00,0.00,0.00,0.00,119.79,2058.570,1887.870,0.00,118.0,0.00,2007.66,200.74,0.00,0.00,58.0,176.0
186,New York,1995,144.40,0.00,144.40,0.00,0.00,0.00,144.40,1925.280,1810.880,0.00,112.0,144.40,1955.28,106.50,0.00,106.50,75.0,187.0
187,New York,2000,141.68,0.00,0.00,0.00,0.00,0.00,141.68,1889.249,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,75.0,75.0
188,New York,2005,139.92,0.00,0.00,0.00,0.00,0.00,139.92,1865.391,1722.890,0.00,99.0,0.00,1862.81,0.00,0.00,0.00,75.0,174.0
189,New York,2010,127.25,0.00,0.00,0.00,0.00,0.00,127.25,1696.450,1259.480,0.00,71.0,0.00,1386.73,0.00,0.00,0.00,75.0,146.0
190,North Carolina,1985,169.01,0.00,0.00,0.00,0.00,0.00,169.01,2801.750,314.680,0.00,91.0,0.00,483.69,154.14,0.00,0.00,60.0,151.0
191,North Carolina,1990,102.95,0.00,0.00,0.00,0.00,0.00,102.95,1872.750,319.320,0.00,67.0,0.00,422.27,135.19,0.00,0.00,55.0,122.0
192,North Carolina,1995,171.53,0.00,171.53,0.00,0.00,0.00,171.53,2449.770,332.400,0.00,70.0,171.53,503.93,162.98,0.00,162.98,70.0,140.0
193,North Carolina,2000,188.54,0.00,0.00,0.00,0.00,0.00,188.54,2693.627,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,70.0,70.0
194,North Carolina,2005,160.70,0.00,0.00,0.00,0.00,0.00,160.70,2295.326,443.560,0.00,69.0,0.00,604.26,0.00,0.00,0.00,70.0,139.0
195,North Carolina,2010,231.35,0.00,0.00,0.00,0.00,0.00,231.35,3303.760,436.210,0.00,70.0,0.00,667.56,0.00,0.00,0.00,70.0,140.0
196,North Dakota,1985,14.55,0.00,0.00,0.00,0.00,0.00,14.55,175.720,39.510,0.00,77.0,0.00,54.06,17.69,0.00,0.00,83.0,160.0
197,North Dakota,1990,12.18,0.00,0.00,0.00,0.00,0.00,12.18,155.860,41.560,0.00,86.0,0.00,53.74,17.46,0.00,0.00,78.0,164.0
198,North Dakota,1995,12.05,0.00,12.05,0.00,0.00,0.00,12.05,151.920,40.330,0.00,82.0,12.05,52.38,15.85,0.00,15.85,79.0,161.0
199,North Dakota,2000,11.86,0.00,0.00,0.00,0.00,0.00,11.86,149.174,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,80.0,80.0
200,North Dakota,2005,8.90,0.00,0.00,0.00,0.00,0.00,8.90,104.887,48.780,0.00,92.0,0.00,57.68,0.00,0.00,0.00,85.0,177.0
201,North Dakota,2010,3.68,0.00,0.00,0.00,0.00,0.00,3.68,49.355,49.880,0.00,80.0,0.00,53.56,0.00,0.00,0.00,75.0,155.0
202,Ohio,1985,138.89,0.00,0.00,0.00,0.00,0.00,138.89,1852.630,467.420,0.00,53.0,0.00,606.31,90.94,0.00,0.00,75.0,128.0
203,Ohio,1990,131.16,0.00,0.00,2.71,0.00,0.00,133.87,1785.650,455.370,0.00,50.0,0.00,589.24,88.41,0.00,0.00,75.0,125.0
204,Ohio,1995,137.62,0.00,137.62,2.77,0.00,2.77,140.39,1872.110,497.080,0.00,54.0,140.39,637.47,95.61,0.00,95.61,75.0,129.0
205,Ohio,2000,131.78,0.00,0.00,2.71,0.00,0.00,134.49,1792.237,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,75.0,75.0
206,Ohio,2005,146.33,0.00,0.00,3.00,0.00,0.00,149.33,1990.798,642.650,0.00,68.0,0.00,791.98,0.00,0.00,0.00,75.0,143.0
207,Ohio,2010,134.49,0.00,0.00,2.75,0.00,0.00,137.24,1830.099,618.530,0.00,64.0,0.00,755.77,0.00,0.00,0.00,75.0,139.0
208,Oklahoma,1985,25.08,0.00,0.00,1.21,0.00,0.00,26.29,468.610,158.390,0.00,56.0,0.00,184.68,55.47,0.00,0.00,56.0,112.0
209,Oklahoma,1990,41.33,0.00,0.00,0.00,0.00,0.00,41.33,480.140,226.500,0.00,85.0,0.00,267.83,79.43,0.00,0.00,86.0,171.0
210,Oklahoma,1995,29.67,0.00,29.67,0.00,0.00,0.00,29.67,351.110,240.580,0.00,82.0,29.67,270.25,81.10,0.00,81.10,85.0,167.0
211,Oklahoma,2000,25.46,0.00,0.00,0.00,0.00,0.00,25.46,299.480,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,85.0,85.0
212,Oklahoma,2005,25.08,0.00,0.00,0.00,0.00,0.00,25.08,294.666,276.030,0.00,85.0,0.00,301.11,0.00,0.00,0.00,85.0,170.0
213,Oklahoma,2010,26.81,0.00,0.00,0.00,0.00,0.00,26.81,315.670,291.930,0.00,85.0,0.00,318.74,0.00,0.00,0.00,85.0,170.0
214,Oregon,1985,70.30,0.00,0.00,9.58,0.00,0.00,79.88,734.800,246.140,0.00,127.0,0.00,326.02,88.98,0.00,0.00,109.0,236.0
215,Oregon,1990,56.86,0.00,0.00,7.57,0.00,0.00,64.43,622.240,246.430,0.00,111.0,0.00,310.86,81.06,0.00,0.00,104.0,215.0
216,Oregon,1995,60.50,0.00,60.50,7.24,0.00,7.24,67.74,994.860,292.170,0.00,136.0,67.74,359.91,83.36,0.00,83.36,68.0,204.0
217,Oregon,2000,68.35,0.00,0.00,8.02,0.00,0.00,76.37,691.730,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,110.0,110.0
218,Oregon,2005,69.46,0.00,0.00,8.22,0.00,0.00,77.68,707.178,363.210,0.00,124.0,0.00,440.89,0.00,0.00,0.00,110.0,234.0
219,Oregon,2010,60.00,0.00,0.00,7.07,0.00,0.00,67.07,606.611,364.620,0.00,113.0,0.00,431.69,0.00,0.00,0.00,111.0,224.0
220,Pennsylvania,1985,183.73,0.00,0.00,0.00,0.00,0.00,183.73,3683.680,538.790,0.00,66.0,0.00,722.52,72.24,0.00,0.00,50.0,116.0
221,Pennsylvania,1990,140.71,0.00,0.00,0.00,0.00,0.00,140.71,2724.900,569.900,0.00,62.0,0.00,710.61,71.07,0.00,0.00,52.0,114.0
222,Pennsylvania,1995,181.09,0.00,181.09,0.00,0.00,0.00,181.09,3018.290,559.380,0.00,62.0,181.09,740.47,74.04,0.00,74.04,60.0,122.0
223,Pennsylvania,2000,131.68,0.00,0.00,0.00,0.00,0.00,131.68,2194.520,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,60.0,60.0
224,Pennsylvania,2005,152.10,0.00,0.00,0.00,0.00,0.00,152.10,2541.422,551.500,0.00,56.0,0.00,703.60,0.00,0.00,0.00,60.0,116.0
225,Pennsylvania,2010,200.72,0.00,0.00,0.00,0.00,0.00,200.72,3345.559,547.890,0.00,59.0,0.00,748.61,0.00,0.00,0.00,60.0,119.0
226,Rhode Island,1985,5.63,0.00,0.00,0.00,0.00,0.00,5.63,84.090,58.780,0.00,66.0,0.00,64.41,13.89,0.00,0.00,67.0,133.0
227,Rhode Island,1990,4.86,0.00,0.00,0.00,0.00,0.00,4.86,69.310,62.620,0.00,67.0,0.00,67.48,10.12,0.00,0.00,70.0,137.0
228,Rhode Island,1995,7.28,0.00,7.28,0.00,0.00,0.00,7.28,112.050,56.910,0.00,65.0,7.28,64.19,9.64,0.00,9.64,65.0,130.0
229,Rhode Island,2000,8.99,0.00,0.00,0.00,0.00,0.00,8.99,126.576,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,71.0,71.0
230,Rhode Island,2005,6.10,0.00,0.00,0.00,0.00,0.00,6.10,85.938,79.280,0.00,80.0,0.00,85.38,0.00,0.00,0.00,71.0,151.0
231,Rhode Island,2010,8.02,0.00,0.00,0.00,0.00,0.00,8.02,112.941,67.650,0.00,72.0,0.00,75.67,0.00,0.00,0.00,71.0,143.0
232,South Carolina,1985,61.74,0.00,0.00,0.00,0.00,0.00,61.74,823.340,189.280,0.00,75.0,0.00,251.02,50.21,0.00,0.00,75.0,150.0
233,South Carolina,1990,102.64,0.00,0.00,0.00,0.00,0.00,102.64,1368.400,160.250,0.00,76.0,0.00,262.89,52.58,0.00,0.00,75.0,151.0
234,South Carolina,1995,71.38,0.00,71.38,0.00,0.00,0.00,71.38,951.450,367.910,0.00,135.0,71.38,439.29,87.83,0.00,87.83,75.0,210.0
235,South Carolina,2000,63.54,0.00,0.00,0.00,0.00,0.00,63.54,847.319,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,75.0,75.0
236,South Carolina,2005,127.26,0.00,0.00,0.00,0.00,0.00,127.26,1272.332,298.240,0.00,100.0,0.00,425.50,0.00,0.00,0.00,100.0,200.0
237,South Carolina,2010,115.25,0.00,0.00,0.00,0.00,0.00,115.25,1152.116,347.310,0.00,100.0,0.00,462.56,0.00,0.00,0.00,100.0,200.0
238,South Dakota,1985,15.32,0.00,0.00,0.89,0.00,0.00,16.21,157.770,60.550,0.00,110.0,0.00,76.76,19.20,0.00,0.00,103.0,213.0
239,South Dakota,1990,8.80,0.00,0.00,0.01,0.00,0.00,8.81,140.900,45.140,0.00,81.0,0.00,53.95,13.51,0.00,0.00,63.0,144.0
240,South Dakota,1995,9.62,0.00,9.62,0.02,0.00,0.02,9.64,130.710,50.990,0.00,85.0,9.64,60.63,15.05,0.00,15.05,74.0,159.0
241,South Dakota,2000,9.52,0.00,0.00,0.01,0.00,0.00,9.53,129.439,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,74.0,74.0
242,South Dakota,2005,7.67,0.00,0.00,0.00,0.00,0.00,7.67,109.748,65.650,0.00,99.0,0.00,73.32,0.00,0.00,0.00,70.0,169.0
243,South Dakota,2010,5.37,0.00,0.00,0.00,0.00,0.00,5.37,75.585,70.740,0.00,96.0,0.00,76.11,0.00,0.00,0.00,71.0,167.0
244,Tennessee,1985,70.38,0.00,0.00,0.00,0.00,0.00,70.38,1104.130,302.530,0.00,83.0,0.00,372.91,37.30,0.00,0.00,64.0,147.0
245,Tennessee,1990,59.06,0.00,0.00,0.00,0.00,0.00,59.06,908.310,338.020,0.00,85.0,0.00,397.08,39.68,0.00,0.00,65.0,150.0
246,Tennessee,1995,54.45,0.00,54.45,0.00,0.00,0.00,54.45,837.870,354.990,0.00,80.0,54.45,409.44,40.95,0.00,40.95,65.0,145.0
247,Tennessee,2000,32.61,0.00,0.00,0.00,0.00,0.00,32.61,549.532,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,59.0,59.0
248,Tennessee,2005,36.67,0.00,0.00,0.00,0.00,0.00,36.67,508.625,442.550,0.00,81.0,0.00,479.22,0.00,0.00,0.00,72.0,153.0
249,Tennessee,2010,38.72,0.00,0.00,0.00,0.00,0.00,38.72,538.259,470.450,0.00,81.0,0.00,509.17,0.00,0.00,0.00,72.0,153.0
250,Texas,1985,105.34,0.00,0.00,0.00,0.00,0.00,105.34,957.570,2203.460,0.00,143.0,0.00,2308.80,832.47,0.00,0.00,110.0,253.0
251,Texas,1990,92.69,0.00,0.00,0.00,0.00,0.00,92.69,856.510,2307.160,0.00,143.0,0.00,2399.85,854.05,0.00,0.00,108.0,251.0
252,Texas,1995,129.65,0.00,129.65,0.00,0.00,0.00,129.65,1173.540,2454.250,0.00,140.0,129.65,2583.90,1082.48,0.00,1082.48,110.0,250.0
253,Texas,2000,131.28,0.00,0.00,0.00,0.00,0.00,131.28,1188.730,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,110.0,110.0
254,Texas,2005,133.93,0.00,0.00,0.00,0.00,0.00,133.93,1349.068,2988.720,0.00,139.0,0.00,3122.65,0.00,0.00,0.00,99.0,238.0
255,Texas,2010,258.72,0.00,0.00,0.00,0.00,0.00,258.72,2440.586,2048.650,0.00,90.0,0.00,2307.37,0.00,0.00,0.00,106.0,196.0
256,Utah,1985,4.54,0.00,0.00,1.61,0.00,0.00,6.15,75.980,339.920,0.00,217.0,0.00,346.07,118.90,0.00,0.00,81.0,298.0
257,Utah,1990,4.62,0.00,0.00,1.43,0.00,0.00,6.05,70.440,359.960,0.00,218.0,0.00,366.01,126.37,0.00,0.00,86.0,304.0
258,Utah,1995,7.72,0.00,7.72,1.70,0.00,1.70,9.42,103.140,339.670,0.00,184.0,9.42,349.09,118.10,0.00,118.10,91.0,275.0
259,Utah,2000,17.18,0.00,0.00,0.00,0.00,0.00,17.18,60.332,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,285.0,285.0
260,Utah,2005,11.80,0.00,0.00,2.11,0.00,0.00,13.91,68.504,459.870,0.00,186.0,0.00,473.78,0.00,0.00,0.00,203.0,389.0
261,Utah,2010,8.44,0.00,0.00,0.00,0.00,0.00,8.44,50.514,453.460,0.00,167.0,0.00,461.90,0.00,0.00,0.00,167.0,334.0
262,Vermont,1985,11.54,0.00,0.00,0.00,0.00,0.00,11.54,192.370,34.190,0.00,100.0,0.00,45.73,9.15,0.00,0.00,60.0,160.0
263,Vermont,1990,16.50,0.00,0.00,0.00,0.00,0.00,16.50,229.520,26.610,0.00,80.0,0.00,43.11,6.47,0.00,0.00,72.0,152.0
264,Vermont,1995,18.46,0.00,18.46,0.40,0.00,0.40,18.86,270.030,25.850,0.00,82.0,18.86,44.71,6.71,0.00,6.71,70.0,152.0
265,Vermont,2000,20.74,0.00,0.00,0.25,0.00,0.00,20.99,246.996,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,85.0,85.0
266,Vermont,2005,13.74,0.00,0.00,0.17,0.00,0.00,13.91,185.465,25.840,0.00,59.0,0.00,39.75,0.00,0.00,0.00,75.0,134.0
267,Vermont,2010,13.63,0.00,0.00,0.00,0.00,0.00,13.63,181.611,26.260,0.00,59.0,0.00,39.89,0.00,0.00,0.00,75.0,134.0
268,Virginia,1985,111.79,0.00,0.00,0.00,0.00,0.00,111.79,1491.730,336.530,0.00,80.0,0.00,448.32,89.89,0.00,0.00,75.0,155.0
269,Virginia,1990,112.69,0.00,0.00,0.00,0.00,0.00,112.69,1503.200,351.280,0.00,75.0,0.00,463.97,46.51,0.00,0.00,75.0,150.0
270,Virginia,1995,124.67,0.00,124.67,0.00,0.00,0.00,124.67,1662.930,423.770,0.00,86.0,124.67,548.44,54.81,0.00,54.81,75.0,161.0
271,Virginia,2000,133.40,0.00,0.00,0.00,0.00,0.00,133.40,1779.942,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,75.0,75.0
272,Virginia,2005,125.77,0.00,0.00,0.00,0.00,0.00,125.77,1677.505,441.950,0.00,75.0,0.00,567.72,0.00,0.00,0.00,75.0,150.0
273,Virginia,2010,123.68,0.00,0.00,0.00,0.00,0.00,123.68,1649.470,476.410,0.00,75.0,0.00,600.09,0.00,0.00,0.00,75.0,150.0
274,Washington,1985,98.29,0.00,0.00,0.01,0.00,0.00,98.30,856.100,515.820,0.00,146.0,0.00,614.12,82.23,0.00,0.00,115.0,261.0
275,Washington,1990,104.20,0.00,0.00,0.01,0.00,0.00,104.21,902.280,604.290,0.00,152.0,0.00,708.50,84.51,0.00,0.00,115.0,267.0
276,Washington,1995,125.45,0.00,0.00,0.01,0.00,0.00,125.46,1003.110,565.360,0.00,128.0,0.00,690.82,82.90,0.00,0.00,125.0,253.0
277,Washington,2000,125.01,0.00,0.00,0.02,0.00,0.00,125.03,993.310,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,126.0,126.0
278,Washington,2005,85.99,0.00,0.00,0.02,0.00,0.00,86.01,904.291,562.050,0.00,104.0,0.00,648.06,0.00,0.00,0.00,95.0,199.0
279,Washington,2010,112.82,0.00,0.00,0.02,0.00,0.00,112.84,1002.899,633.680,0.00,111.0,0.00,746.52,0.00,0.00,0.00,113.0,224.0
280,West Virginia,1985,21.15,0.00,0.00,0.00,0.00,0.00,21.15,625.810,81.080,0.00,62.0,0.00,102.23,29.22,0.00,0.00,34.0,96.0
281,West Virginia,1990,47.96,0.00,0.00,0.97,0.00,0.00,48.93,611.710,87.170,0.00,74.0,0.00,136.10,13.61,0.00,0.00,80.0,154.0
282,West Virginia,1995,39.90,0.00,39.90,0.81,0.00,0.81,40.71,508.640,95.510,0.00,72.0,40.71,136.22,13.62,0.00,13.62,80.0,152.0
283,West Virginia,2000,39.58,0.00,0.00,0.81,0.00,0.00,40.39,504.887,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,80.0,80.0
284,West Virginia,2005,32.84,0.00,0.00,0.66,0.00,0.00,33.50,420.151,149.460,0.00,107.0,0.00,182.96,0.00,0.00,0.00,80.0,187.0
285,West Virginia,2010,30.88,0.00,0.00,0.63,0.00,0.00,31.51,393.332,116.780,0.00,80.0,0.00,148.29,0.00,0.00,0.00,80.0,160.0
286,Wisconsin,1985,84.05,0.00,0.00,0.00,0.00,0.00,84.05,1675.980,169.440,0.00,54.0,0.00,253.49,25.24,0.00,0.00,50.0,104.0
287,Wisconsin,1990,90.15,0.00,0.00,0.00,0.00,0.00,90.15,1485.820,178.690,0.00,52.0,0.00,268.84,53.81,0.00,0.00,61.0,113.0
288,Wisconsin,1995,92.45,0.00,92.45,0.00,0.00,0.00,92.45,1544.230,188.840,0.00,53.0,92.45,281.29,56.24,0.00,56.24,60.0,113.0
289,Wisconsin,2000,96.28,0.00,0.00,0.00,0.00,0.00,96.28,1747.540,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,55.0,55.0
290,Wisconsin,2005,87.32,0.00,0.00,0.00,0.00,0.00,87.32,1665.739,228.830,0.00,59.0,0.00,316.15,0.00,0.00,0.00,52.0,111.0
291,Wisconsin,2010,78.36,0.00,0.00,0.00,0.00,0.00,78.36,1644.873,211.430,0.00,52.0,0.00,289.79,0.00,0.00,0.00,48.0,100.0
292,Wyoming,1985,12.11,0.00,0.00,1.34,0.00,0.00,13.45,179.880,61.040,0.00,185.0,0.00,74.49,29.84,0.00,0.00,75.0,260.0
293,Wyoming,1990,8.15,0.00,0.00,0.40,0.00,0.00,8.55,113.970,55.200,0.00,163.0,0.00,63.75,25.40,0.00,0.00,75.0,238.0
294,Wyoming,1995,9.72,0.00,9.72,0.48,0.00,0.48,10.20,135.850,54.120,0.00,157.0,10.20,64.32,32.58,0.00,32.58,75.0,232.0
295,Wyoming,2000,6.57,0.00,0.00,0.00,0.00,0.00,6.57,87.480,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,75.0,75.0
296,Wyoming,2005,6.32,0.00,0.00,0.00,0.00,0.00,6.32,84.409,71.050,0.00,167.0,0.00,77.37,0.00,0.00,0.00,75.0,242.0
297,Wyoming,2010,8.55,0.00,0.00,0.00,0.00,0.00,8.55,114.123,72.870,0.00,162.0,0.00,81.42,0.00,0.00,0.00,75.0,237.0
